,source,target,weight
244,3191,1336,1.0
245,3477,1336,2.0
246,338,8412,2.0
247,6683,8412,2.0
248,6989,8412,1.0
249,7983,8412,1.0
250,7988,8412,1.0
251,7991,8412,1.0
252,8125,8412,1.0
253,8128,8412,1.0
254,8129,8412,1.0
255,8268,8412,1.0
256,8269,8412,2.0
257,8270,8412,1.0
258,8271,8412,1.0
259,8273,8412,3.0
260,8410,8412,3.0
261,8411,8412,1.0
262,8413,8412,1.0
263,8418,8412,1.0
264,8546,8412,1.0
265,8551,8412,4.0
266,8552,8412,3.0
267,8554,8412,7.0
268,8692,8412,2.0
269,8695,8412,1.0
270,8696,8412,5.0
271,8699,8412,1.0
272,8839,8412,1.0
273,8842,8412,1.0
274,8843,8412,2.0
275,8983,8412,1.0
276,9412,8412,1.0
277,9536,8412,1.0
278,9683,8412,1.0
279,10393,8412,1.0
280,11282,8412,1.0
281,338,8696,1.0
282,5572,8696,4.0
283,6582,8696,1.0
284,6683,8696,1.0
285,6988,8696,1.0
286,6989,8696,1.0
287,7126,8696,1.0
288,7130,8696,1.0
289,7284,8696,1.0
290,7565,8696,1.0
291,7996,8696,1.0
292,8127,8696,1.0
293,8128,8696,4.0
294,8138,8696,1.0
295,8268,8696,1.0
296,8269,8696,1.0
297,8270,8696,4.0
298,8271,8696,6.0
299,8272,8696,2.0
300,8273,8696,1.0
301,8275,8696,1.0
302,8276,8696,1.0
303,8277,8696,2.0
304,8278,8696,1.0
305,8283,8696,1.0
306,8409,8696,4.0
307,8410,8696,1.0
308,8412,8696,9.0
309,8413,8696,1.0
310,8454,8696,1.0
311,8551,8696,4.0
312,8553,8696,6.0
313,8554,8696,18.0
314,8555,8696,2.0
315,8565,8696,2.0
316,8691,8696,2.0
317,8692,8696,1.0
318,8693,8696,3.0
319,8694,8696,4.0
320,8695,8696,25.0
321,8697,8696,1.0
322,8727,8696,1.0
323,8811,8696,1.0
324,8834,8696,2.0
325,8835,8696,5.0
326,8836,8696,3.0
327,8837,8696,4.0
328,8838,8696,3.0
329,8839,8696,7.0
330,8840,8696,7.0
331,8842,8696,3.0
332,8976,8696,1.0
333,8978,8696,1.0
334,8980,8696,1.0
335,8982,8696,4.0
336,8983,8696,1.0
337,8984,8696,1.0
338,9011,8696,1.0
339,9012,8696,1.0
340,9093,8696,1.0
341,9125,8696,4.0
342,9126,8696,1.0
343,9383,8696,3.0
344,9961,8696,1.0
345,9996,8696,2.0
346,10145,8696,2.0
347,10378,8696,1.0
348,10383,8696,1.0
349,10398,8696,1.0
350,10540,8696,1.0
351,11107,8696,1.0
352,11705,8696,1.0
353,13238,8696,1.0
354,14286,8696,2.0
355,338,8983,1.0
356,6845,8983,1.0
357,7277,8983,1.0
358,7414,8983,2.0
359,8278,8983,2.0
360,8409,8983,1.0
361,8696,8983,2.0
362,8814,8983,1.0
363,8839,8983,1.0
364,8840,8983,1.0
365,8841,8983,1.0
366,8842,8983,3.0
367,8867,8983,1.0
368,8956,8983,1.0
369,8980,8983,1.0
370,8982,8983,4.0
371,8984,8983,1.0
372,9122,8983,1.0
373,9125,8983,2.0
374,9126,8983,4.0
375,9127,8983,2.0
376,9408,8983,1.0
377,9558,8983,1.0
378,9691,8983,1.0
379,9857,8983,1.0
380,13263,8983,1.0
381,465,605,3.0
382,744,605,1.0
383,469,326,2.0
384,2173,326,1.0
385,2901,326,1.0
386,469,1043,4.0
387,469,1050,1.0
388,470,1050,1.0
389,611,1050,1.0
390,759,1050,1.0
391,470,471,2.0
392,1890,471,2.0
393,470,3477,2.0
394,620,3477,1.0
395,3042,3477,1.0
396,3185,3477,1.0
397,3186,3477,3.0
398,3187,3477,1.0
399,3191,3477,2.0
400,3192,3477,3.0
401,3330,3477,2.0
402,3334,3477,2.0
403,3481,3477,3.0
404,3614,3477,1.0
405,3615,3477,3.0
406,4185,3477,1.0
407,4323,3477,1.0
408,9021,3477,2.0
409,470,5718,1.0
410,5577,5718,1.0
411,5719,5718,2.0
412,6989,5718,1.0
413,7278,5718,1.0
414,7433,5718,1.0
415,8274,5718,1.0
416,471,1890,1.0
417,2173,1890,1.0
418,472,327,1.0
419,748,327,1.0
420,749,327,1.0
421,753,327,1.0
422,1744,327,2.0
423,472,474,2.0
424,472,610,1.0
425,614,610,3.0
426,756,610,2.0
427,2173,610,1.0
428,2457,610,1.0
429,2895,610,1.0
430,472,1035,1.0
431,472,2759,1.0
432,1901,2759,2.0
433,2758,2759,3.0
434,2902,2759,4.0
435,2903,2759,1.0
436,2904,2759,2.0
437,3182,2759,3.0
438,3186,2759,1.0
439,5328,2759,1.0
440,472,3186,1.0
441,2184,3186,1.0
442,2759,3186,1.0
443,2899,3186,2.0
444,2900,3186,2.0
445,2902,3186,4.0
446,2903,3186,1.0
447,3042,3186,8.0
448,3043,3186,1.0
449,3044,3186,7.0
